action_id,entity_type,entity_code,entity_name,country,city,issue_category,exact_issue,why_claude_could_not_resolve,what_you_must_do,suggested_source,priority,blocks_import,related_qa_issue_id,status,mvp_triage
MA-064,restaurant,rest_0158,La Paix,Belgium,Anderlecht,Quarantined record,"La Paix is temporarily closed and relocating from Anderlecht to Corinthia Grand Hotel Astoria Brussels. The quarantined row contains the future Brussels address, coordinates and a Place ID that does not safely identify the restaurant.","The former Anderlecht street is known, but matching coordinates and a verified restaurant Place ID are not available. Using the future hotel location would knowingly import incorrect venue data.","Do not import rest_0158 as-is. Either verify the former Anderlecht location completely, or keep it quarantined until reopening. On reopening, update the venue data and create the relationship to hotel_153.","MICHELIN restaurant page, operator announcement, and verified Google Maps record after reopening",Medium,False,QA-054,Open,2 Nice to have before launch
MA-065,schema,,no status field for closed or relocating venues,ALL,,Schema decision,"La Paix is temporarily closed and relocating. The schema has no way to express that, so a venue is either present as if open or absent entirely. Users who visited before a closure lose the ability to record it.","Closed by FINAL_ARCHITECTURE_DECISIONS.md Decision 4, Database Freeze v1.0, 28 July 2026.","Decide whether to add a status column with values such as open, temporarily_closed and relocated.",QA-187,Medium,False,QA-187,Resolved,1 Must fix before import
MA-066,restaurant,,Verve by Sven,Switzerland,Bad Ragaz,Missing record,MICHELIN card for Grand Resort Bad Ragaz shows Verve by Sven at one star. No row exists in restaurants_master.,"No address, coordinates or Place ID available from the card; nothing may be inferred from the sibling rows.","Supply address, coordinates and Google Place ID, then create the row and a third link to hotel_49.",MICHELIN Guide restaurant card,High,False,QA-175,Open,2 Nice to have before launch
MA-067,restaurant,rest_0403,Villa Feltrinelli,Italy,Gargnano,Award value,Stored at two stars. MICHELIN card captured 28 Jul 2026 appears to show three.,Star icons cannot be counted reliably at the captured resolution and this is an award value.,"Reconfirm the star count from the MICHELIN card at full size. If three, Italy becomes 16 three-star and 36 two-star and MA-051 widens to two.",MICHELIN Guide restaurant card,High,False,QA-176,Open,2 Nice to have before launch
MA-068,hotel,hotel_100,Sofitel Frankfurt Opera,Germany,Frankfurt am Main,Address conflict,"Stored address is Hochstrasse 44, 60313. The MICHELIN card gives Opernplatz 16, about 400 m away.","Both are plausible city-centre addresses and the row passes its country bounding-box check, so no automated test detects it.","Confirm the street from MICHELIN. If Opernplatz is correct, re-verify coordinates and Place ID together, as all three were likely resolved from the same string.",MICHELIN Guide hotel card,High,False,QA-177,Open,2 Nice to have before launch
MA-069,pair,hotel_13 + rest_0022,Chateau Neercanne,Netherlands,Maastricht,Address conflict,Both rows store Von Dopfflaan 10. The MICHELIN card gives 10 Von Dopffplein. A laan and a plein are different streets.,Cannot determine which is correct without a second independent source.,"Confirm the street. Both rows share one Place ID, so whichever is wrong is wrong twice.",MICHELIN Guide hotel card,Medium,False,QA-178,Open,2 Nice to have before launch
MA-070,restaurant,rest_0374,Flores Raras,Spain,Valencia,Address conflict,Stored address is Carrer de Correus 8. The MICHELIN card gives Correos 43-1o.,House number and street-name language both differ; renaming was safe but re-addressing is not.,"Confirm the street address and floor from MICHELIN, then re-verify coordinates and Place ID.",MICHELIN Guide restaurant card,Medium,False,QA-179,Open,2 Nice to have before launch
MA-071,hotel,,Widder Hotel and The Dolder Grand,Switzerland,Zurich,Missing record,Both confirmed as Two-Key hotels from MICHELIN detail pages 28 Jul 2026. Neither exists in hotels_master.,No coordinates or Google Place IDs were supplied and none may be invented.,"Supply address, coordinates and Place ID for both, then create the rows and a link from Widder Hotel to rest_0264 Widder Restaurant.",MICHELIN Guide hotel card,High,False,QA-180,Open,2 Nice to have before launch
MA-072,hotel,,7132 House of Architects,Switzerland,Vals,Duplicate candidate,"The MICHELIN card for 7132 Hotel names a second, separate hotel on the same site.","Key status unknown and it shares street and postcode with hotel_83, so the address matcher could conflate the two.","Determine whether it holds Keys. Either way, record it so the matcher does not merge it with hotel_83.",MICHELIN Guide hotel card,Medium,False,QA-182,Open,2 Nice to have before launch
MA-073,schema,,Green Star and Young Chef Award,,,Schema headroom,Two MICHELIN distinctions outside the three stored award types were observed: a Green Star at Sven Wassmer Memories and the Young Chef Award at Rote Wand Chef's Table.,Rejected 28 Jul 2026 by project decision: the Green Star is out of scope. award_history.award_type stays at michelin_keys and michelin_stars.,"Decide whether to widen the CHECK before the table is created. Free now, a constraint migration later.",MICHELIN Guide and operator pages,Low,False,QA-183,Rejected,3 Post-MVP
MA-074,restaurant,,Best of the Best members absent from the catalogue,,,Missing record,"Five of the eleven Best of the Best hall-of-fame restaurants have no catalogue row: El Bulli (Spain), The Fat Duck (United Kingdom), Noma (Denmark), Mirazur (France), Central (Peru).","No address, coordinates or Google Place ID is available for any of them and none may be invented.","Research place data for each, then create the rows and their hall-of-fame entries. Only Central is missing because of the scope rule; The Fat Duck and Mirazur hold three MICHELIN stars and are country-coverage gaps; El Bulli is permanently closed and Noma has left the guide.",theworlds50best.com Best of the Best,High,False,QA-189,Open,2 Nice to have before launch
MA-075,restaurant,,Best of the Best induction years,,,Award value,The publisher lists the years each restaurant was ranked No.1 but not the year it was elevated into the hall of fame. worlds_50_best.year requires the induction year.,"The induction year is not published alongside the No.1 years. The group was introduced in 2019, which implies 2019 for the seven pre-2019 winners, but that is an inference.",Confirm the induction year for each of the eleven members before seeding hall-of-fame rows.,theworlds50best.com Best of the Best,Medium,False,QA-190,Open,2 Nice to have before launch
