issue_id,category,severity,scope,affected,description,recommended_action,status
QA-092,Duplicate candidate,Medium,Italy / Switzerland,Da Vittorio appears twice under one brand,"rest_0254 Da Vittorio is the St. Moritz outpost, linked to hotel_56 Carlton Hotel St. Moritz. The new rest_0379 Da Vittorio is the three-star original in Brusaporto (BG). Same brand, two separate restaurants in two countries. Not a duplicate, but a name collision that any name-based matching will trip over.",Keep both; consider a disambiguating suffix in the display name,Open
QA-093,Data error,Low,Spain,El Poblet listed by Google as Flores Raras,"Searching El Poblet returns ""Flores Raras Restaurante"" at Carrer de Correus 8, Valencia — the correct address, and the reviews still refer to El Poblet. This looks like a rename that MICHELIN has not adopted. Imported as rest_0374 under the MICHELIN name.",Verify whether the restaurant has been renamed,Open
QA-094,Verified,Low,Italy,Campo del Drago hotel attribution,"Campo del Drago was expected to sit inside hotel_456 Castello Banfi - Il Borgo since MICHELIN files it under Montalcino. The lookup shows it is at Rosewood Castiglion del Bosco, a different Montalcino property that holds no MICHELIN Key and is therefore not in the hotel table. No link created — the assumption was wrong and was caught before it entered the data.",,Resolved
QA-095,Data error,Medium,Italy,Villa Feltrinelli and Harry's Piccolo resolved to hotel records,"Searching these two restaurants returned the hotel: Grand Hotel a Villa Feltrinelli in Gargnano, and Grand Hotel Duchi d'Aosta in Trieste. Neither hotel holds a MICHELIN Key so neither is in the hotel table, and no separate restaurant record surfaced. Imported with the hotel-level Place ID. Eighth and ninth occurrence of the restaurant-outranks-hotel pattern, here in reverse.",Retry for a restaurant-level Place ID before launch,Open
QA-096,Convention,Low,Italy / Spain,2 rows deliberately share a Place ID with their hotel,"Atrio (rest_0350 / hotel_480) and Terra The Magic Place (rest_0419 / hotel_460) carry the same Google Place ID as their hotel row because each is a single building holding both the restaurant and the accommodation, and Google publishes one record. This is intentional, not a duplication error. Place IDs remain unique within the restaurant table and within the hotel table separately.",Treat cross-table Place ID equality as valid; enforce uniqueness per table only,Open
QA-097,Sourcing blocker,High,France,115 two- and three-star restaurants not yet rostered,"The MICHELIN Guide France 2026 holds 31 three-star and 84 two-star restaurants. Unlike Spain and Italy, the name lists could not be sourced: guide.michelin.com returns a bot-detection block on fetch, the Wikipedia tables render empty through the fetcher, and four separate searches returned only prose fragments and counts. No names have been invented. Currently 6 French rows exist in the restaurant table, all in Paris.","Source via screenshots of the MICHELIN list, as was done for the Italian and Spanish hotel rosters",Open
QA-098,Schema,High,France / Monaco,Monaco sits inside the French guide,"MICHELIN counts 31 three-star tables ""en France et à Monaco"" — Monaco is inside the France selection, not a separate guide. The hotel table already treats Monaco as its own country (hotel_193, hotel_194) with its own flag. When French restaurants are imported, Le Louis XV in Monte-Carlo will belong to the French 31 while sitting in a Monaco row. Decide now whether country follows geography or guide edition, because per-country counts and any ""complete country"" logic depend on it.","Keep country geographic and add a guide_edition column, or accept that French counts will not reconcile",Open
QA-099,Data error,High,France,star counts in any pre-2026 French source,"The 2026 vintage moved several landmark tables. L'Ambroisie in Paris lost its third star and Le Chabichou in Courchevel fell from two to one. Both are long-standing fixtures that appear at their old rank in most reference material, so a list assembled from earlier coverage will carry them wrong.","Verify every French star count against 2026 specifically, not against general reputation",Open
QA-100,Data error,High,Switzerland,country total was wrong: 87 vs 90,"MICHELIN's own Swiss Key article states the 2025 Swiss selection holds 9 Three-Key, 32 Two-Key and 49 One-Key hotels — 90 in total. The dashboard carried 87, taken from a trade-press headline. The Two-Key tier is therefore 32, not 30 as imported, so two Two-Key hotels are missing rather than none. Dashboard corrected to 90.","Two Two-Key hotels still unidentified; likely among Widder, Dolder Grand and Park Gstaad",Open
QA-101,Sourcing blocker,High,Switzerland,49 One-Key hotels have no roster,"guide.michelin.com blocks fetching, so the Swiss Key list could not be retrieved in full. Only three One-Key hotels are named in the retrieved snippet — Le Mirador, Royal Savoy Lausanne and Grand Hotel du Lac Vevey — and those three are imported. The other 46 are unnamed. Same blocker as France (QA-097).","Source via screenshots, as was done for the Italian and Spanish hotel rosters",Open
QA-102,Verified,Low,Serbia,no two- or three-star restaurants exist,"The MICHELIN Guide Serbia awarded its first Stars only in the 2025 edition, two One-Stars: Langouste in Belgrade and Fleur de Sel in Novi Slankamen. There is no Serbian two- or three-star restaurant, so nothing was imported at this tier. The 2026 edition also narrowed the guide to cover Belgrade only.",Revisit if the one-star tier is ever brought into scope,Resolved
QA-103,Duplicate candidate,Medium,Croatia / Italy,Agli Amici appears twice under one brand,"rest_0404 Agli Amici is the two-star in Godia near Udine, Italy. The new rest_0426 Agli Amici Rovinj is the two-star in Rovinj, Croatia, run by the same chef Emanuele Scarello. Two separate restaurants in two countries under one brand. Third occurrence of this pattern after Da Vittorio (QA-092) and the Sextantio properties.",Keep both; name-based matching will trip over this,Open
QA-104,Coverage,Medium,"Croatia, Hungary, Malta",top tiers now complete for three more countries,"Croatia holds exactly one two-star and no three-star; Hungary holds two two-stars and no three-star; Malta holds one two-star and no three-star. All are imported, so these three countries are complete at the two- and three-star tiers, as Slovenia already is.",None at this tier,Resolved
QA-105,Tooling defect,High,All countries with leading house numbers,address parser silently drops the house number,"The street parser expects the street name first and the number after it, which is the continental pattern. For addresses written the British way, number first, the pattern fails and the parser falls back to matching on street name alone with an empty house number. Two such addresses then match on street name only. This is the exact false-positive class fixed in QA-048, reappearing through a different route. It surfaced on ION Harbour at 11 St. Barbara Bastion matching Iniala Valletta at number 10. That particular link happens to be correct and is kept, but it was reached by accident. Malta, Ireland, the United Kingdom and the United States all use this address form.",Fix the parser to handle a leading house number before running the linker over any British-form address market,Open
QA-106,Link confidence,Medium,Croatia,hotel_266 Grand Park Hotel Rovinj to rest_0426 Agli Amici Rovinj,Linked manually. The matcher missed it because the complex fronts two streets: the hotel is registered on Smareglijeva ulica while the restaurant sits on the marina promenade at Setaliste Vijeca Europe. MICHELIN coverage states plainly that Agli Amici is set in the Grand Park Hotel. Second occurrence of the two-frontage pattern after Monument Hotel in Barcelona (QA-084).,Add the two-frontage case to the linker review list,Open
QA-107,Coverage,High,"Denmark, Sweden",two Nordic countries already present but badly incomplete,"Denmark holds three-star Geranium, noma, Jordnaer and, as of the 2026 vintage, Kadeau Copenhagen, plus seven two-stars. Sweden holds three-star Frantzen plus further two-stars. The table carries only two rows for each. Because both countries already appear, they fall outside a ""missing countries"" sweep and would be silently skipped. UPDATE: Denmark and Sweden are now complete at both top tiers. Hong Kong was completed separately. Japan remains.",Treat present-but-incomplete countries as a separate work item from wholly missing ones,Partially resolved
QA-108,Verified,Low,Iceland,no two- or three-star restaurants exist,"Iceland holds only One-Star restaurants (DILL, Moss, OX). Nothing to import at this tier, as with Serbia.",,Resolved
QA-109,Data error,Medium,Macau,The Huaiyang Garden lookup returned the wrong restaurant,"Searching The Huaiyang Garden returned Palace Garden, a different Cantonese restaurant at Grand Lisboa Palace that was newly promoted to one star in the 2026 edition. Both are Grand Lisboa properties with similar names, which is likely why the search slid. Not imported. Seven of Macau eight top-tier restaurants are in; this one is held in macau_pending_lookup.csv.",Retry with the Chinese name or the exact floor,Open
QA-110,Coverage,High,Hong Kong,Hong Kong holds 7 three-star and 13 two-star; table has 2 rows and no three-star,"The 2026 Hong Kong and Macau guide lists seven Hong Kong three-stars (8 1/2 Otto e Mezzo - Bombana, Amber, Caprice, Forum, Sushi Shikon, Ta Vie, T’ang Court) and thirteen two-stars (Arbor, Bo Innovation, Cristal Room by Anne-Sophie Pic, Lai Ching Heen, L’Atelier de Joel Robuchon, L’Envol, Lung King Heen, Noi by Paulo Airaudo, Octavium, Run, Tate, Tin Lung Heen, Ying Jee Club). The table carries two Hong Kong rows and neither is a three-star. Names are now captured here so the roster survives even if the source goes. RESOLVED: all 20 imported as rest_0441 to rest_0460.","Import as a present-but-incomplete country, alongside Denmark and Sweden (QA-107)",Resolved
QA-111,Convention,Low,Macau,addresses have no street numbers,"Every Macau top-tier restaurant sits inside a casino resort and is addressed by floor and property rather than by street number, for example ""43/F, Grand Lisboa"". The address matcher cannot work here at all. All seven rows are marked located_in_hotel true even though no hotel row exists, because the fact is certain from the address itself.",Add Macau resorts to the hotel table if Keys are ever awarded there; link manually until then,Open
QA-112,Data error,Medium,Hong Kong,two Google records carry a merged or shortened name,"L'Atelier de Joel Robuchon returns under the plain name Joel Robuchon at the Landmark, where the group also runs Le Jardin de Joel Robuchon; the single Google record appears to cover the combined venue. Lai Ching Heen returns as ""Lai Ching Heen (Yan Toh Heen)"" at 18 Salisbury Road, merging the Regent's restaurant with the name it carried under the InterContinental. MICHELIN names are used in both rows.",Verify both Place IDs point at the starred restaurant and not a sibling concept,Open
QA-113,Data error,Low,Hong Kong,rest_0301 Wing carries michelin_stars = 0,"WITHDRAWN. The zero is correct by design, not a placeholder. Wing is ranked 11th on The World’s 50 Best Restaurants 2025 and holds no MICHELIN star, so michelin_stars = 0 is accurate. Seven rows carry a zero and all seven are 50 Best entries without a star: Maido, Kjolle, Merito and Mayta in Peru, Borago in Chile, Celele in Colombia and Wing in Hong Kong. The first six sit in countries with no MICHELIN guide at all. Flagging this as an error was my mistake.","None — keep the convention, and document that 0 means ""in the guide area but unstarred, or outside any guide""",Resolved
QA-114,Verified,Low,All countries,The World's 50 Best Restaurants 2025,"All 50 ranks are present in the restaurant table, numbered 1 to 50 with no gaps and no duplicates, all carrying worlds_50_best_year 2025. Nothing is missing at this list.",,Resolved
QA-115,Future maintenance,Medium,All countries,the 50 Best ranking refreshes on 4 November 2026,"The 2026 ranking has not been published yet. The ceremony moved from Abu Dhabi to Lima and takes place on 4 November 2026, so the stored 2025 ranking is current until then. Two consequences for the schema. First, worlds_50_best_rank is a snapshot, not a property of the restaurant, so the refresh will rewrite up to 50 rows at once and any row dropping out needs its rank cleared rather than left stale. Second, Maido entered the Best of the Best hall of fame by winning in 2025 and is not eligible from 2026 onwards, so the reigning number one will vanish from the ranking while remaining a restaurant worth showing. Central did the same after winning in 2023, which is why it is absent from the current 50 despite being a Lima landmark.","Decide whether to keep a rank history table, and whether hall-of-fame restaurants get their own flag so they do not simply disappear from the app",Open
QA-116,Duplicate candidate,High,"Taiwan, Hong Kong, Spain, Italy, Croatia, Switzerland",name collisions across countries now number five brands,"L'Atelier de Joel Robuchon now exists twice, rest_0452 in Hong Kong and rest_0466 in Taipei. Molino de Urdaniz in Taipei is the outpost of rest_0373 El Molino de Urdaniz in Urdaitz, Spain, under a slightly different name. These join Da Vittorio (Brusaporto and St. Moritz), Agli Amici (Godia and Rovinj) and Sextantio (Matera and Santo Stefano di Sessanio). Five brands, eleven rows, all legitimately distinct restaurants.","Any name-based lookup, dedupe or search feature must key on restaurant_code and country, never on name alone",Open
QA-117,Convention,Low,Taiwan,Google returns Taiwanese addresses in mixed script and reversed order,"Taiwanese records come back with Chinese characters embedded and the building number after the street, for example ""Section 1, Chengde Rd, 3號17樓"". All ten addresses were rewritten into readable romanised form with floor first. Two names also differ from MICHELIN: Mudan returns under its Chinese name, and Yu Kapo returns as Yu Kappo. MICHELIN spellings are used.",None; noted so the rewriting is traceable,Resolved
QA-118,Sourcing blocker,High,China (mainland),Google Places is not a usable source for mainland China,"Eight Beijing restaurants were looked up and six came back as the wrong establishment. Blackswan returned a cake shop in Shunyi. Lamdre returned Gongdelin, a Bib Gourmand vegetarian place. Jingji returned Jing, the one-star French restaurant at The Peninsula. Lu Shang Lu returned Shijiu, a one-star. Chao Shang Chao returned an unrelated restaurant with three reviews. Shanghai Cuisine returned nothing. Only Xin Rong Ji and King’s Joy came back correctly, and both only because their reviews explicitly named the star count. Google Maps has minimal commercial coverage in mainland China, so the lookup method used for every other country in this database does not transfer. Nothing was imported on a doubtful match.","Source Chinese coordinates and identifiers from Amap or Baidu, or accept name, city and star only and leave the geo fields blank",Open
QA-119,Scope,Medium,China (mainland),China is not one guide but several city guides,"Mainland China has no single national selection. Beijing, Shanghai, Guangzhou, Chengdu and others each have their own edition released on their own date, and Shanghai has since been folded into a new regional Shanghai-Jiangsu-Zhejiang edition carrying 77 stars. Beijing 2026 alone holds 2 three-star and 6 two-star; the Shanghai 2025 edition held 2 three-star and 9 two-star. A complete Chinese top tier therefore needs several separate roster passes, not one.",Treat each Chinese city guide as its own country-sized unit of work,Open
QA-120,Data error,High,Denmark,noma is no longer a starred restaurant,"noma held three stars until the 2024 guide and does not appear in the Nordic 2026 selection at all; it has moved to the Noma Projects format and is off the active list. It is not in the restaurant table, so nothing is wrong today, but any list of ""three-star restaurants"" assembled from older reference material will wrongly include it. Denmark holds three three-stars in 2026: Geranium, Jordnaer and Kadeau Copenhagen.",Guard against noma being reintroduced from a stale source,Open
QA-121,Schema,Medium,Faroe Islands,"PAZ sits in a territory, not a country","PAZ in Torshavn holds two stars and is listed by MICHELIN under Denmark in the Nordic guide, but the Faroe Islands are a self-governing territory with their own flag and are not part of the EU. Stored as country Faroe Islands with its own flag so the map and any country filter behave correctly, at the cost of Denmark counts not matching MICHELIN exactly. Same class of decision as Monaco inside the French guide (QA-098).","Decide one rule for territories and apply it to Faroe Islands, Monaco, Hong Kong and Macau together",Open
QA-122,Source confidence,Medium,"Denmark, Sweden",three Danish and all Swedish two-stars sourced from the 2025 list,"The 2026 Nordic ceremony awarded two new two-stars but the full 2026 two-star list was not retrievable. Copenhagen 2026 is confirmed at four two-stars (a|o|c, Alchemist, Koan, Kong Hans Kaelder). Frederikshoj, Henne Kirkeby Kro and PAZ sit outside Copenhagen and are carried from the confirmed 2025 list, as are all five Swedish two-stars. No demotions were reported for any of them.",Confirm the 2026 two-star lists for both countries and check whether either of the two new 2026 two-stars is Danish or Swedish,Open
QA-123,Scope,High,Japan,Japan is the largest remaining gap by a wide margin,"Japan runs several separate city guides. Kyoto Osaka 2026 alone holds 9 three-star (6 Kyoto, 3 Osaka) and 31 two-star, published April 2026. Tokyo 2026 was published September 2025 and promoted Myojaku to three stars; Tokyo's full three-star roster and its two-star list were not retrievable. Further editions exist for Nara, Hokkaido, Fukuoka, Hiroshima, Kanazawa and others. Nine three-stars are imported here, plus Sezanne already present. The Japanese two-star tier alone is larger than the entire Spanish and Italian two-star tiers combined.","Source Tokyo's three-star roster next, then treat each Japanese city guide as its own unit of work",Open
QA-124,Convention,Low,Japan,Japanese addresses returned in mixed script with Japanese-order numbering,"Google returns Japanese addresses with kanji fragments and the block-lot-building order, for example ""1-chōme−21−2 山本松ビル 1f"". All nine were rewritten to romanised hyphenated form with the floor first. Two names also differ: Miyamasou returns as an inn record (it is a ryokan with a restaurant, so located_in_hotel is true) and Myojaku returns as Myoujyaku. MICHELIN spellings are used.",None; noted so the rewriting is traceable,Resolved
QA-125,Roster captured,High,Japan,118 Japanese Key hotels rostered from screenshots,"The full Japanese Key hotel selection was captured from 15 screenshots: 5 Three-Key, 16 Two-Key and 97 One-Key. No duplicate names across the screenshots. Kyoto leads with 21 hotels and Tokyo has 18. Place lookups are still pending for all 118. Japan would become the third largest hotel country in the database after Italy and Germany.","Run place lookups in blocks of forty, as was done for Italy and Spain",Open
QA-126,Link opportunity,High,Japan,14 hotel cards name their MICHELIN restaurant,"Fourteen Japanese hotel cards carry a named restaurant, giving hotel-to-restaurant links directly from the source rather than through address matching. Notably Bvlgari Hotel Tokyo names Il Ristorante - Niko Romito, Four Seasons Tokyo at Otemachi names est, HOTEL THE MITSUI KYOTO names TOKI, and Hotel New Otani names Tour d'Argent Tokyo. None of these restaurants is in the restaurant table yet, so the links cannot be created until the Japanese two-star and one-star tiers are imported.",Import these fourteen restaurants alongside the hotels so the links can be made in one pass,Open
QA-127,Convention,Medium,Japan,"screenshot cities are often districts or gun, not municipalities","Japanese cards give locations such as ""Hakonemachi, Ashigarashimo-gun"", ""Kutchancho, Abuta-gun"" and ""Kyoto Prefecture"" rather than a plain city. These were normalised to the commonly used destination name: Hakone, Kutchan, Kyoto, Karuizawa, Niseko, Naoshima, Onna, Nakijin. Satoyama Jujo is filed under Minamiuonuma and Oyado The Earth under Toba, both inferred from the prefecture given on the card and needing confirmation at lookup time.",Verify the two inferred cities during the place lookups,Open
QA-128,Source confidence,High,Japan,14 hotel restaurants have place data but no verified star count,"RESOLVED for Tokyo and Kyoto. The listing screenshots settle eleven of the fourteen: six are starred (Heritage by Kei Kobayashi 1, Il Ristorante - Niko Romito 1, est 1, Tour d Argent Tokyo 1, Kanamean Nishitomiya 1, Sanso Kyoyamato 2) and five are not starred at all (SIGNATURE, Hei Fung Terrace, TOKI, Tempura Mizuki, Benoit). Three Osaka entries remain: JIANG NAN CHUN, TEMPURA HANAGATAMI and Pierre. Place data was already complete for all fourteen.","Confirm the fourteen against the Tokyo 2026 and Kyoto-Osaka 2026 star lists, then import in one pass; the expensive part, the place lookup, is already done",Resolved
QA-129,Data error,Medium,Japan,Kanamean Nishitomiya resolves to the ryokan,"The hotel and its restaurant share a name, so the lookup returned the ryokan record rather than the dining room. Same pattern as Atrio, ABaC, Villa Feltrinelli and Terra The Magic Place. Reviews confirm the property runs two restaurants, Kaname and Nishitomiya, which suggests the MICHELIN entry may refer to one of those rather than to the house name.",Establish which dining room carries the MICHELIN entry before importing,Open
QA-130,Data error,High,Japan,SIGNATURE and Hei Fung Terrace are not starred,"Five of the fourteen hotel restaurants carry the restaurant symbol on their hotel card yet appear nowhere in the complete Tokyo or Kyoto starred listings: SIGNATURE at Mandarin Oriental Tokyo, Hei Fung Terrace at The Peninsula Tokyo, TOKI at HOTEL THE MITSUI KYOTO, Tempura Mizuki at The Ritz-Carlton Kyoto and Benoit at The Hotel Seiryu Kyoto Kiyomizu. They are in the MICHELIN Guide without a Star. More than a third of the set. Had the fourteen been imported on the strength of the hotel cards alone, five unstarred restaurants would have entered a starred table.","Keep both out of the starred table, or add a distinct listing level if unstarred Guide entries are ever brought into scope",Resolved
QA-131,Duplicate candidate,High,Japan,TOKi Tokyo and TOKI Kyoto are different restaurants,"The Tokyo listing contains a one-star contemporary restaurant written TOKi. HOTEL THE MITSUI KYOTO names its restaurant TOKI, a French kitchen in Kyoto. Same name bar the capitalisation, two cities, two restaurants. Any case-insensitive name match will merge them. RESOLVED: the Kyoto listing contains no TOKI at all, so the Kyoto TOKI is unstarred and the name can only refer to the Tokyo one-star. The collision is real but only one of the two is starred.",Keep the two apart on restaurant_code and city; do not let the Kyoto TOKI inherit the Tokyo star count,Resolved
QA-132,Roster captured,High,Japan,157 Tokyo starred restaurants rostered,"The Tokyo starred listing was captured from 14 screenshots: 11 Three-Star, 26 Two-Star and 120 One-Star, with no duplicate names. The three-star count validates exactly: the eleven captured plus Sezanne, already in the database, equal the twelve MICHELIN reports for Tokyo. The two- and one-star counts sit a few short of the published totals, so a handful of cards at screenshot edges were probably missed.",Compare the two- and one-star counts against the published Tokyo totals to find the few missing cards,Open
QA-133,Roster captured,High,Japan,97 Kyoto starred restaurants rostered,"The Kyoto starred listing was captured from 9 screenshots: 6 Three-Star, 19 Two-Star and 72 One-Star, no duplicate names. Both top tiers validate exactly against the published Kyoto figures of 6 and 19. The one-star count is 72 against a published 73, so a single card was missed. Together with Tokyo this gives 254 rostered Japanese starred restaurants.",Find the one missing Kyoto one-star; Osaka and the remaining city guides are still untouched,Open
QA-134,Link opportunity,Medium,Japan,Jean-Georges at The Shinmonzen names a hotel absent from the hotel roster,"The Kyoto listing shows one-star Jean-Georges at The Shinmonzen naming The Shinmonzen as its hotel. That hotel does not appear in the 118-strong Japanese Key hotel roster, which means it holds no MICHELIN Key. A starred restaurant inside a hotel is therefore not evidence that the hotel is keyed, and the restaurant table will carry hotel names that have no counterpart in the hotel table.","Allow hotel_name to be populated without a hotel_code, or leave the link empty for unkeyed hotels",Open
QA-135,Data integrity,Critical,ALL,hotel-restaurant relationships stored in three disagreeing places,"Consolidation found the same relationship written into hotel_restaurant_links.csv (49 pairs), hotels.restaurant_codes (46) and restaurants.hotel_code (20). The union is 61 distinct pairs. Twelve links exist only on restaurant rows and were never written to the join table; three exist only in the join table. No relationship was lost, but no single file is complete.",See MA-001 and MA-002. Pick one authoritative store and regenerate the others.,Open
QA-136,Data integrity,High,ALL,UUID coverage is split,17 of 572 hotels and 325 of 489 restaurants carry a valid unique v5 UUID; the rest are blank. A primary key cannot be half-populated on insert.,See MA-003.,Open
QA-137,Verified,Low,ALL,technical repairs applied during consolidation,"Two purely technical inconsistencies were repaired: trailing whitespace stripped from three restaurant names (rest_0036, rest_0074, rest_0126), and located_in_hotel normalised from True/False to true/false on the 325 original rows. No substantive data was changed.",,Resolved
QA-138,Verified,Low,ALL,full technical validation passed,"All 572 hotel rows and 489 restaurant rows validate: unique codes, well-formed and unique Place IDs, coordinates present and inside the stated country bounding box, valid Key and Star values, clean booleans, no duplicate name within country or city, no orphaned foreign keys, no stray whitespace, correct column count and order.",,Resolved
QA-139,Resolved,Critical,ALL,relationship storage consolidated,"hotel_restaurant_links.csv is now the single source of truth and carries a link_id primary key. 12 links that existed only on restaurant rows and 1 from the Deessa correction were consolidated in, taking the table from 49 to 62 rows. restaurant_names, restaurant_codes and has_michelin_restaurant were dropped from hotels; hotel_id, hotel_code and hotel_name were dropped from restaurants. No relationship was lost.",,Resolved
QA-140,Data error,High,Switzerland,rest_0254 Da Vittorio has no location data,"The row carried the Place ID, address and coordinates of Badrutt Palace Hotel. Those values were demonstrably wrong and would have shown the wrong property in the app, so they were cleared. The row now has a name, city, country and star count but no location.",Supply the correct location data. Tracked as MA-004.,Open
QA-141,Schema,Medium,ALL,located_in_hotel retained as a restaurant attribute,"44 restaurants sit inside a hotel. 23 of those are in hotels that hold no MICHELIN Key, so they can never have a link row. located_in_hotel therefore carries information the join table cannot express and was deliberately kept when the FK columns were dropped.",Keep as a boolean attribute; do not attempt to derive it from the join table,Resolved
QA-142,Data consistency,High,ALL,41 linked restaurants say located_in_hotel=false,"The join table holds 62 restaurants but only 44 carry located_in_hotel=true. 41 restaurants have a link row yet claim not to be in a hotel; they all originate in the 325-row import where the flag predates the links. Conversely 23 restaurants say true without a link, which is expected because their hotel holds no Key.",See MA-053. Either backfill the flag from the join table or drop it in favour of a derived value.,Open
QA-143,Progress,Low,Japan,38 of 118 Japanese hotels imported,"COMPLETE. Three lookup blocks: hotel_573 to hotel_687, 115 of 118 Japanese hotels imported. 95 One-Key, 15 Two-Key and all 5 Three-Key (Amanemu, Bvlgari Hotel Tokyo, Four Seasons Tokyo at Otemachi, Gora Kadan, HOTEL THE MITSUI KYOTO). All coordinates verified inside Japan, all Place IDs unique, no duplicate names. Three hotels held back, see QA-144 and QA-147.",Continue with the remaining 78 lookups,Resolved
QA-144,Data error,Medium,Japan,2 hotel lookups returned the wrong property,"Atami Izusan Karaku returned ""Tokyu Harvest Club Atami Izusan & VIALA"", a different chain entirely; the sister property Hakone Gora Karaku resolved correctly as ""Karaku, Gora"", which confirms Karaku is its own brand. Kinugawa Keisui returned ""Tokyu Harvest Club VIALA Kinugawakeisui"", where the name overlaps but the brand does not match. Neither was imported.",Verify both against the MICHELIN hotel pages before importing,Open
QA-145,Convention,Low,Japan,7 Google names differ from the MICHELIN roster,"Google returns Beniya for Kofuyuden Beniya, Ryokan Nishiyama for Ryokan Onomichi Nishiyama, Karaku Gora for Hakone Gora Karaku, Fufu Kyukaruizawa for Fufu Kyu-Karuizawa Restful Forest, Rin-Po-Ki-Ryu for Rin-Poh-Ki-Ryu, and adds chain suffixes to Fuji Speedway Hotel. Nasu Mukunone returns only in Japanese script. MICHELIN names were kept in every case.",None; logged so the name differences are traceable,Resolved
QA-146,Link opportunity,High,Japan,6 hotel-restaurant links are now half-buildable,"Of the six Japanese hotel restaurants with a confirmed star, four now have their hotel loaded: Bvlgari Hotel Tokyo (hotel_647) for Il Ristorante - Niko Romito, The Ritz-Carlton Tokyo (hotel_645) for Heritage by Kei Kobayashi, HOTEL THE MITSUI KYOTO (hotel_644) for TOKI which is unstarred, and The Ritz-Carlton Kyoto (hotel_646) for Tempura Mizuki which is also unstarred. The restaurants themselves are not yet in restaurants_master, so no link row can be created.","Import the six starred Japanese hotel restaurants, then create the links",Open
QA-147,Data error,Medium,Japan,Benesse House lookup returned the museum,"The lookup returned Benesse House Museum, typed art_museum with no lodging category. Benesse House is a combined museum and hotel spread across four wings (Museum, Park, Beach and Oval); the record found is the museum building. This is the same class of error the QA strategy warns about, a facility record used as a hotel Place ID. Not imported.",Supply a Place ID for the accommodation rather than the museum,Open
QA-148,Convention,Low,Japan,two keyed properties share one street address,"Yamagata The Takinami (hotel_573) and OSTERIA SINCERITA (hotel_596) both sit at 3005 Akayu, Nanyo, Yamagata. They are separate MICHELIN Key properties run by the same group, with distinct Place IDs and coordinates roughly 70 metres apart. Reviews confirm guests of one are offered dinner at the other.",None; noted so the shared address is not mistaken for a duplicate,Resolved
QA-149,Convention,Low,Japan,4 more Google names differ from the MICHELIN roster,"GAJOEN returns as Wasure-no-sato Gajoen, Bettei Otozure as Ryokan Otozure, Bettei Senjuan as Bettei Senjyuan and Beniya Mukayu as Beniya Mukayu Ryokan. All four are the same property; MICHELIN names were kept.",,Resolved
QA-150,Progress,Low,Japan,Japanese three-star tier complete,"All 21 Japanese three-star restaurants are now loaded: 12 in Tokyo, 6 in Kyoto and 3 in Osaka. Both city counts validate exactly against the published figures. Six confirmed hotel restaurants were also imported with their links, taking the join table from 62 to 68 rows.",Continue with the two-star tier: 26 in Tokyo and 19 in Kyoto,Resolved
QA-151,Convention,Low,Japan,5 Google names differ from the MICHELIN roster,"Kanda returns as Nihonryori Kanda, RyuGin as Nihonryori RyuGin, Harutaka as Ginza Harutaka, Joel Robuchon as Gastronomy Joel Robuchon and Isshisoden Nakamura as Isshisouden Nakamura. All five are the same restaurant; MICHELIN spellings were kept.",,Resolved
QA-152,Shared Place ID,Medium,Japan,Kanamean Nishitomiya shares one Place ID across both tables,"rest_0498 and hotel_687 carry the identical Place ID because the ryokan and its dining room share one Google record, which is the QA-129 problem now materialised in the data. This is the eighth deliberate cross-table share, alongside Atrio, ABaC, Terra The Magic Place, Central Park, Solring Hof, Chateau Neercanne and 7132.","Confirm the share is acceptable, or establish which dining room holds the star and give it its own record",Open
QA-153,Progress,Low,Japan,Japanese two-star tier all but complete,"41 two-star restaurants imported: 24 in Tokyo and 17 in Kyoto. Tokyo now stands at 26 of 26, complete. Kyoto stands at 18 of 19. Together with the 21 three-stars, Japan holds 66 top-tier restaurants plus 5 one-star hotel restaurants, 71 in total.","Resolve the single missing Kyoto two-star, then the one-star tiers",Open
QA-154,Data error,Medium,Japan,Ogata lookup returned a different restaurant,"Searching the two-star kaiseki house Ogata in Kyoto returned Youshoku Ogata, a western-style restaurant whose reviews centre on its hamburger steak and which Google types as western_restaurant. Same surname, different establishment. Not imported, so Kyoto sits at 18 of 19 two-stars.",Supply the correct record for the kaiseki Ogata,Open
QA-155,Duplicate candidate,Medium,Japan,the Kikunoi brand now appears four times,"Kikunoi Honten (Kyoto, three-star), Kikunoi Roan (Kyoto, two-star), Akasaka Kikunoi (Tokyo, two-star) and Kikunoi Sushi Ao (Kyoto, one-star, not yet imported) are four separate restaurants under one house. Akasaka Kikunoi returns from Google simply as Kikunoi. This is the largest single-brand cluster in the database, ahead of the five cross-country brands already logged in QA-116.","Confirm any search or dedupe logic keys on restaurant_code, never on name",Open
QA-156,Convention,Low,Japan,9 more Google names differ from the MICHELIN roster,"Seizan returns as Nihonryori Seizan, Ensui as Nihon Ryori Ensui, Sushi Kanesaka as Kanesaka, Hakuun as Nihonryori Hakuun, Sukiyabashi Jiro Roppongiten as Sukiyabashi Jiro Roppongi Hills Restaurant, Ryo-sho as Ryosho, Kyokaiseki Kichisen as Kichisen, Yusokuryori Mankamero as Mankamerou and Akasaka Kikunoi as Kikunoi. MICHELIN spellings were kept throughout.",,Resolved
