year,rank,name_as_listed,country_as_listed,reason,notes,candidate_restaurant_code,candidate_confidence
2007,1,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2007,2,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2007,3,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2007,5,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2007,6,Bras,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2007,8,Le Louis XV,Monaco,unmatched,"Country ""Monaco"" has no restaurants in the catalogue universe.",,
2007,12,Gambero Rosso,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Glam Enrico Bartolini (Venice) at name_sim=0.53.,,
2007,13,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2007,15,Noma,Denmark,unmatched,No adequately similar catalogue candidate in Denmark; closest was Geranium (Copenhagen) at name_sim=0.33.,,
2007,17,Nobu,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.29.,,
2007,19,Hakkasan,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.19.,,
2007,20,Alain Ducasse au Plaza Athénée,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.33.,,
2007,21,L'Astrance,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.46.,,
2007,22,Can Fabes,Spain,closed,Closed 2013 following the 2011 death of chef Santi Santamaria.,,
2007,23,L'Ambroisie,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.38.,,
2007,24,Restaurant Gordon Ramsay,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2007,25,Troisgros,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.3.,,
2007,28,Le Gavroche,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2007,29,Le Cinq,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.25.,,
2007,30,Charlie Trotter's,USA,closed,Permanently closed 2012 (chef Charlie Trotter's decision).,,
2007,32,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2007,33,Rockpool,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2007,34,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2007,35,Chez Dominique,Finland,unmatched,No adequately similar catalogue candidate in Finland; closest was Palace (Helsinki) at name_sim=0.2.,,
2007,37,Bukhara,India,unmatched,"Country ""India"" has no restaurants in the catalogue universe.",,
2007,38,D.O.M.,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.0.,,
2007,39,Oaxen Krog,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2007,40,Chez Panisse,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.44.,,
2007,42,Cracco Peck,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Andrea Aprea (Milan) at name_sim=0.43.,,
2007,44,River Café,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.18.,,
2007,45,Oud Sluis,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Kaatje bij de Sluis (Blokzijl) at name_sim=0.48.,,
2007,46,Combal Zero,Italy,closed,Closed 2019 (chef Davide Scabin closed the restaurant).,,
2007,47,Le Quartier Français,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2007,48,Taillevent,France,closed,Permanently closed 2020.,,
2007,49,Bocuse,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.33.,,
2007,50,Les Ambassadeurs,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2008,1,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2008,2,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2008,3,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2008,7,Bras,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2008,9,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2008,10,Noma,Denmark,unmatched,No adequately similar catalogue candidate in Denmark; closest was Geranium (Copenhagen) at name_sim=0.33.,,
2008,11,L'Astrance,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.46.,,
2008,12,Gambero Rosso,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Glam Enrico Bartolini (Venice) at name_sim=0.53.,,
2008,13,Restaurant Gordon Ramsay,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.22.,,
2008,14,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2008,15,Le Louis XV,Monaco,unmatched,"Country ""Monaco"" has no restaurants in the catalogue universe.",,
2008,16,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2008,18,Alain Ducasse au Plaza Athénée,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.33.,,
2008,19,Hakkasan,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.19.,,
2008,22,Le Gavroche,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2008,24,Le Cinq,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.25.,,
2008,25,Troisgros,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.3.,,
2008,30,Nobu,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.29.,,
2008,31,Can Fabes,Spain,closed,Closed 2013 following the 2011 death of chef Santi Santamaria.,,
2008,33,Le Meurice,France,unmatched,No adequately similar catalogue candidate in France; closest was Plénitude (Paris) at name_sim=0.38.,,
2008,37,Chez Panisse,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Per Se (New York) at name_sim=0.44.,,
2008,38,Charlie Trotter's,USA,closed,Permanently closed 2012 (chef Charlie Trotter's decision).,,
2008,39,Chez Dominique,Finland,unmatched,No adequately similar catalogue candidate in Finland; closest was Palace (Helsinki) at name_sim=0.2.,,
2008,40,D.O.M.,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.0.,,
2008,41,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2008,42,Oud Sluis,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Kaatje bij de Sluis (Blokzijl) at name_sim=0.48.,,
2008,43,Ristorante Cracco,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Verso Capitaneo (Milan) at name_sim=0.44.,,
2008,45,Les Ambassadeurs,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2008,48,Oaxen Krog,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2008,49,Rockpool,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2008,50,Le Quartier Français,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2009,1,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2009,2,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2009,3,Noma,Denmark,unmatched,No adequately similar catalogue candidate in Denmark; closest was Geranium (Copenhagen) at name_sim=0.33.,,
2009,7,Bras,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2009,9,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2009,11,L'Astrance,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.46.,,
2009,14,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2009,17,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2009,18,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2009,21,Chez Dominique,Finland,unmatched,No adequately similar catalogue candidate in Finland; closest was Palace (Helsinki) at name_sim=0.2.,,
2009,22,Ristorante Cracco,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Verso Capitaneo (Milan) at name_sim=0.44.,,
2009,24,D.O.M.,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.0.,,
2009,27,Masa,USA,ambiguous,"Closest catalogue candidate rest_0760 (Aska, New York, United States) name_sim=0.75 city_sim=1.0 — insufficient corroboration to accept.",rest_0760,low
2009,28,Gambero Rosso,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Glam Enrico Bartolini (Venice) at name_sim=0.53.,,
2009,29,Oud Sluis,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Kaatje bij de Sluis (Blokzijl) at name_sim=0.48.,,
2009,31,Momofuku Ssäm Bar,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Chef's Table at Brooklyn Fare (New York) at name_sim=0.33.,,
2009,32,Oaxen Krog,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2009,34,Nobu,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.29.,,
2009,35,Mirazur,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.29.,,
2009,36,Hakkasan,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.19.,,
2009,37,Le Quartier Français,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2009,38,La Colombe,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2009,40,Le Chateaubriand,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.32.,,
2009,41,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2009,42,Combal Zero,Italy,closed,Closed 2019 (chef Davide Scabin closed the restaurant).,,
2009,43,Le Louis XV,Monaco,unmatched,"Country ""Monaco"" has no restaurants in the catalogue universe.",,
2009,45,Iggy's,Singapore,unmatched,No adequately similar catalogue candidate in Singapore; closest was Les Amis (Singapore) at name_sim=0.31.,,
2009,46,Quay,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2009,47,Les Ambassadeurs,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2009,50,Mathias Dhalgren,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2010,1,Noma,Denmark,unmatched,No adequately similar catalogue candidate in Denmark; closest was Geranium (Copenhagen) at name_sim=0.33.,,
2010,2,El Bulli,Spain,closed,Permanently closed 2011 (Ferran Adrià); site is now the elBulli1846 museum/foundation.,,
2010,3,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2010,8,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2010,11,Le Chateaubriand,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.32.,,
2010,12,La Colombe,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2010,13,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2010,16,L'Astrance,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.46.,,
2010,18,D.O.M.,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.0.,,
2010,19,Oud Sluis,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Kaatje bij de Sluis (Blokzijl) at name_sim=0.48.,,
2010,23,Chez Dominique,Finland,unmatched,No adequately similar catalogue candidate in Finland; closest was Palace (Helsinki) at name_sim=0.2.,,
2010,25,Mathias Dhalgren,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2010,26,Momofuku Ssäm Bar,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Chef's Table at Brooklyn Fare (New York) at name_sim=0.33.,,
2010,27,Quay,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2010,28,Iggy's,Singapore,unmatched,No adequately similar catalogue candidate in Singapore; closest was Les Amis (Singapore) at name_sim=0.31.,,
2010,29,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2010,31,Le Quartier Francais,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2010,35,Combal Zero,Italy,closed,Closed 2019 (chef Davide Scabin closed the restaurant).,,
2010,38,Tetsuya's,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2010,39,Jaan Par Andre,Singapore,unmatched,No adequately similar catalogue candidate in Singapore; closest was Odette (Singapore) at name_sim=0.2.,,
2010,40,Il Canto,Italy,ambiguous,"Closest catalogue candidate rest_0414 (Caino, Montemerano, Italy) name_sim=0.62 city_sim=0.25 — insufficient corroboration to accept.",rest_0414,low
2010,41,Alain Ducasse au Plaza Athénée,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.33.,,
2010,42,Oaxen Krog,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2010,43,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2010,44,Maison Troisgros,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.27.,,
2010,45,WD~50,USA,closed,Permanently closed 2014 (lease not renewed).,,
2010,46,Biko,Mexico,unmatched,No adequately similar catalogue candidate in Mexico; closest was Quintonil (Mexico City) at name_sim=0.31.,,
2010,49,Hibiscus,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.31.,,
2011,1,Noma,Denmark,unmatched,No adequately similar catalogue candidate in Denmark; closest was Geranium (Copenhagen) at name_sim=0.33.,,
2011,5,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2011,7,D.O.M.,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.0.,,
2011,9,Le Chateaubriand,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.32.,,
2011,11,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2011,13,L'Astrance,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.46.,,
2011,14,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2011,16,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2011,17,Oud Sluis,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Kaatje bij de Sluis (Blokzijl) at name_sim=0.48.,,
2011,26,Quay,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2011,27,Iggy's,Singapore,unmatched,No adequately similar catalogue candidate in Singapore; closest was Les Amis (Singapore) at name_sim=0.31.,,
2011,28,Combal Zero,Italy,closed,Closed 2019 (chef Davide Scabin closed the restaurant).,,
2011,30,Bras Restaurant,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2011,31,Biko,Mexico,unmatched,No adequately similar catalogue candidate in Mexico; closest was Quintonil (Mexico City) at name_sim=0.31.,,
2011,33,Ristorante Cracco,Italy,unmatched,No adequately similar catalogue candidate in Italy; closest was Verso Capitaneo (Milan) at name_sim=0.44.,,
2011,34,The Ledbury,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.26.,,
2011,35,Chez Dominique,Finland,unmatched,No adequately similar catalogue candidate in Finland; closest was Palace (Helsinki) at name_sim=0.2.,,
2011,36,Le Quartier Français,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2011,39,Il Canto,Italy,ambiguous,"Closest catalogue candidate rest_0414 (Caino, Montemerano, Italy) name_sim=0.62 city_sim=0.25 — insufficient corroboration to accept.",rest_0414,low
2011,40,Momofuku Ssäm Bar,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Chef's Table at Brooklyn Fare (New York) at name_sim=0.33.,,
2011,41,St John,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Kol (London) at name_sim=0.2.,,
2011,42,Astrid y Gastón,Peru,unmatched,No adequately similar catalogue candidate in Peru; closest was Maido (Lima) at name_sim=0.4.,,
2011,43,Hibiscus,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Ikoyi (London) at name_sim=0.31.,,
2011,44,Maison Troisgros,France,unmatched,No adequately similar catalogue candidate in France; closest was Arpège (Paris) at name_sim=0.27.,,
2011,45,Alain Ducasse au Plaza Athénée,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.33.,,
2011,48,Varvary,Russia,unmatched,"Country ""Russia"" has no restaurants in the catalogue universe.",,
2012,1,Noma,Denmark,unmatched,No adequately similar catalogue candidate in Denmark; closest was Geranium (Copenhagen) at name_sim=0.33.,,
2012,4,D.O.M.,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.0.,,
2012,9,Dinner by Heston Blumenthal,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.38.,,
2012,12,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2012,13,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2012,14,The Ledbury,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.26.,,
2012,15,Le Chateaubriand,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.32.,,
2012,17,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2012,18,L'Astrance,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.46.,,
2012,21,Oud Sluis,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Kaatje bij de Sluis (Blokzijl) at name_sim=0.48.,,
2012,24,Mirazur,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.29.,,
2012,25,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2012,26,Iggy's,Singapore,unmatched,No adequately similar catalogue candidate in Singapore; closest was Les Amis (Singapore) at name_sim=0.31.,,
2012,29,Quay,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2012,34,Fäviken,Sweden,closed,Permanently closed 2019 (chef Magnus Nilsson's decision).,,
2012,35,Astrid y Gastón,Peru,unmatched,No adequately similar catalogue candidate in Peru; closest was Maido (Lima) at name_sim=0.4.,,
2012,37,Momofuku Ssäm Bar,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Chef's Table at Brooklyn Fare (New York) at name_sim=0.33.,,
2012,38,Biko,Mexico,unmatched,No adequately similar catalogue candidate in Mexico; closest was Quintonil (Mexico City) at name_sim=0.31.,,
2012,39,Waku Ghin,Singapore,unmatched,No adequately similar catalogue candidate in Singapore; closest was Les Amis (Singapore) at name_sim=0.24.,,
2012,41,Mathias Dahlgren,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2012,45,Vila Joya,Portugal,unmatched,No adequately similar catalogue candidate in Portugal; closest was Belcanto (Lisbon) at name_sim=0.35.,,
2012,46,Il Canto,Italy,ambiguous,"Closest catalogue candidate rest_0414 (Caino, Montemerano, Italy) name_sim=0.62 city_sim=0.25 — insufficient corroboration to accept.",rest_0414,low
2012,47,Bras Restaurant,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.32.,,
2012,48,Manresa,USA,ambiguous,"Closest catalogue candidate rest_0772 (Alinea, Chicago, United States) name_sim=0.62 city_sim=0.12 — insufficient corroboration to accept.",rest_0772,low
2012,50,Nahm,Thailand,closed,Bangkok original closed 2023 (chef David Thompson's retirement).,,
2013,2,Noma,Denmark,unmatched,No adequately similar catalogue candidate in Denmark; closest was Geranium (Copenhagen) at name_sim=0.33.,,
2013,6,D.O.M.,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.0.,,
2013,7,Dinner by Heston Blumenthal,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.38.,,
2013,13,The Ledbury,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.26.,,
2013,14,Astrid y Gastón,Peru,unmatched,No adequately similar catalogue candidate in Peru; closest was Maido (Lima) at name_sim=0.4.,,
2013,18,Le Chateaubriand,France,unmatched,No adequately similar catalogue candidate in France; closest was Table by Bruno Verjus (Paris) at name_sim=0.32.,,
2013,21,Attica,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2013,23,L'Astrance,France,unmatched,No adequately similar catalogue candidate in France; closest was Anne (Paris) at name_sim=0.46.,,
2013,24,L'Atelier Saint Germain De Joël Robuchon,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.21.,,
2013,28,Mirazur,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.29.,,
2013,29,Daniel,USA,unmatched,No adequately similar catalogue candidate in United States; closest was Atera (New York) at name_sim=0.36.,,
2013,31,Biko,Mexico,unmatched,No adequately similar catalogue candidate in Mexico; closest was Quintonil (Mexico City) at name_sim=0.31.,,
2013,32,Nahm,Thailand,closed,Bangkok original closed 2023 (chef David Thompson's retirement).,,
2013,33,The Fat Duck,UK,unmatched,No adequately similar catalogue candidate in United Kingdom; closest was Alain Ducasse at The Dorchester (London) at name_sim=0.31.,,
2013,34,Fäviken,Sweden,closed,Permanently closed 2019 (chef Magnus Nilsson's decision).,,
2013,35,Oud Sluis,Netherlands,unmatched,No adequately similar catalogue candidate in Netherlands; closest was Kaatje bij de Sluis (Blokzijl) at name_sim=0.48.,,
2013,37,Vila Joya,Portugal,unmatched,No adequately similar catalogue candidate in Portugal; closest was Belcanto (Lisbon) at name_sim=0.35.,,
2013,38,Restaurant André,Singapore,unmatched,No adequately similar catalogue candidate in Singapore; closest was Odette (Singapore) at name_sim=0.36.,,
2013,40,Combal.Zero,Italy,closed,Closed 2019 (chef Davide Scabin closed the restaurant).,,
2013,43,Mr and Mrs Bund,China,unmatched,No adequately similar catalogue candidate in China; closest was King's Joy (Beijing) at name_sim=0.2.,,
2013,46,Maní,Brazil,unmatched,No adequately similar catalogue candidate in Brazil; closest was Lasai (Rio de Janeiro) at name_sim=0.44.,,
2013,48,Quay,Australia,unmatched,"Country ""Australia"" has no restaurants in the catalogue universe.",,
2013,50,Central,Peru,unmatched,No adequately similar catalogue candidate in Peru; closest was Mayta (Lima) at name_sim=0.33.,,
2013,51,Pierre Gagnaire,France,unmatched,No adequately similar catalogue candidate in France; closest was Le Gabriel - La Reserve Paris (Paris) at name_sim=0.39.,,
2013,52,Manresa,USA,ambiguous,"Closest catalogue candidate rest_0772 (Alinea, Chicago, United States) name_sim=0.62 city_sim=0.12 — insufficient corroboration to accept.",rest_0772,low
2013,53,Le Quartier Français,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2013,54,La Grenouillere,France,unmatched,No adequately similar catalogue candidate in France; closest was Plénitude (Paris) at name_sim=0.38.,,
2013,55,Mathias Dahlgren,Sweden,unmatched,No adequately similar catalogue candidate in Sweden; closest was Frantzén (Stockholm) at name_sim=0.33.,,
2013,56,Restaurant Relae,Denmark,closed,Permanently closed 2021 (chef Christian Puglisi's decision).,,
2013,58,Coi,USA,closed,Permanently closed 2023.,,
2013,59,Viajante,UK,closed,Permanently closed 2013.,,
2013,60,Ultra Violet,China,unmatched,No adequately similar catalogue candidate in China; closest was Xin Rong Ji (Xinyuan South Road) (Beijing) at name_sim=0.19.,,
2013,61,The Test Kitchen,South Africa,unmatched,"Country ""South Africa"" has no restaurants in the catalogue universe.",,
2013,62,La Vie,Germany,unmatched,No adequately similar catalogue candidate in Germany; closest was Vendôme (Bergisch Gladbach) at name_sim=0.4.,,
2013,65,Iggy's,Singapore,unmatched,No adequately similar catalogue candidate in Singapore; closest was Les Amis (Singapore) at name_sim=0.31.,,
